genome1	genome2	blastANI
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	82.0607
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	79.3824
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	79.5983
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	82.2184
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	81.4634
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	81.6667
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	82.1542
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	79.4337
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	81.3127
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	81.2422
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	81.6469
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	80.9261
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	80.7781
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	81.9119
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	81.3321
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	82.3368
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	82.1395
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	80.7055
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	81.8044
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	82.2292
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	81.6221
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	81.464
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	78.9884
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	81.215
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	82.1928
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	81.5298
GCA_001443625.1_ASM144362v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	81.5602
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_008016805.1_ASM801680v1_genomic.fna	83.4854
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	84.1064
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	84.0992
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	84.1882
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	81.3037
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	83.5166
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	83.5262
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	79.9451
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	80.9696
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	88.3469
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	92.8343
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	92.9471
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	92.9369
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	92.9058
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	79.7941
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	82.8014
GCA_001517125.1_ASM151712v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	83.1114
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	82.9697
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	80.9683
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	81.689
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	80.8533
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	81.3914
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	84.1011
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	84.2186
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	81.0558
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	85.4719
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	80.7352
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	81.0242
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	81.0207
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	81.6417
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	84.6248
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	81.2155
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	79.4234
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	79.5774
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	81.1447
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	98.5567
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	83.3902
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	81.2016
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	79.5542
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	84.4369
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	80.8572
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	80.8507
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	80.6973
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	80.486
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	81.099
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	84.4503
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	81.2715
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	81.2259
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	80.4227
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	80.9937
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	81.2149
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	84.8988
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	84.6343
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	78.8736
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	80.9625
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	81.1906
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	84.2965
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	84.484
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	83.4267
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	83.4335
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	83.3409
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	81.2282
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	83.2019
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	83.4797
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	79.9929
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	81.2134
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	83.7665
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	83.6249
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	83.6395
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	83.6751
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	83.6423
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	79.9508
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	82.4296
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	82.7747
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	82.7638
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	80.94
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	81.5506
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	80.8363
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	81.4262
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	83.4979
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	83.6293
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	81.0112
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	83.8996
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	81.0609
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	81.1404
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	80.9419
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	81.5908
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	83.5443
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	81.205
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	79.5467
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	79.647
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	81.1684
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	83.5786
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	83.1262
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	81.2396
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	79.5986
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	83.5119
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	80.8657
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	80.7181
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	81.0747
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	80.3553
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	81.2175
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	83.5535
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	81.2851
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	81.2776
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	80.6167
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	81.0178
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	81.3141
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	83.8803
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	83.577
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	78.9291
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	80.7854
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	81.2402
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	83.7288
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	83.4154
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	97.9338
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	93.5339
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	81.1968
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	83.0286
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	83.263
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	79.7705
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	80.9875
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	84.3542
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	84.0871
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	84.2568
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	84.2149
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	84.2251
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	79.9864
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	82.599
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	82.3566
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	82.4758
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	81.0563
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	81.8712
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	80.9437
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	81.3773
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	83.5092
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	92.5182
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	80.9276
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	84.5265
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	80.9413
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	81.1676
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	81.1191
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	81.7065
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	85.3548
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	80.9801
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	79.5105
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	79.7582
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	81.1709
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	84.2133
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	83.1026
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	81.0935
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	79.6954
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	86.7969
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	81.0732
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	80.7
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	81.1014
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	80.6387
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	81.2136
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	84.2211
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	81.3081
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	81.1647
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	80.5779
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	81.065
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	81.163
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	86.7188
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	84.3251
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	79.2917
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	80.8693
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	80.9827
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	83.9598
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	86.6503
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	93.4931
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	81.24
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	82.9908
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	83.2193
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	79.8694
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	81.0509
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	84.2995
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	84.0953
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	84.2859
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	84.3113
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	84.2614
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	80.0586
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	82.5443
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	82.4418
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	82.4636
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	81.1198
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	81.8659
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	81.0895
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	81.4144
