genome1	genome2	orthoANIu
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	76.3086
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	76.1772
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	78.2605
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	98.5023
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	81.7427
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	78.5628
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	76.111
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	83.21
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	77.907
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	78.0163
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	77.9487
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	77.6959
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	78.1895
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	83.0471
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	79.1007
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	78.6381
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	77.6718
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	78.0051
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	78.7569
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	83.7256
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	83.4182
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	75.5695
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	77.9654
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	78.3518
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	82.8153
GCA_001517125.1_ASM151712v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	83.296
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_014649355.1_ASM1464935v1_genomic.fna	81.6815
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	81.4952
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	81.6944
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	78.5594
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	81.1486
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	81.8018
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	76.5613
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	78.6921
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	81.7367
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	81.8329
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	81.9048
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	81.834
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	81.813
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	76.8946
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	80.4248
GCA_008016805.1_ASM801680v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	80.7052
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	81.2349
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	77.9319
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	78.9724
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	77.9625
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	78.3249
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	81.9437
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	81.6759
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	78.1785
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	82.1137
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	77.827
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	77.9514
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	78.0968
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	78.6234
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	81.1395
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	78.3479
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	76.3955
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	76.4359
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	78.1142
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	81.7821
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	81.2549
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	78.545
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	76.076
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	81.6269
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	77.7266
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	77.8183
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	78.0603
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	77.3626
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	78.1946
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	81.9203
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	78.7569
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	78.1707
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	77.5831
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	78.1571
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	78.4048
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	82.2218
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	81.9621
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	75.4267
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	77.8765
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	78.335
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	81.9713
GCA_008016805.1_ASM801680v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	81.6257
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_014649615.1_ASM1464961v1_genomic.fna	97.7039
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	93.3274
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	78.5009
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	81.2928
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	81.7748
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	76.9749
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	78.6036
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	82.9582
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	82.734
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	82.8638
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	82.8598
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	82.8541
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	76.8542
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	80.5286
GCA_014649355.1_ASM1464935v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	80.9488
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	80.7773
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	78.0352
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	79.2389
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	77.9959
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	78.6215
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000721105.1_ASM72110v1_genomic.fna	82.048
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000721435.1_ASM72143v1_genomic.fna	92.1936
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_000725705.1_Doro.v1.0_genomic.fna	78.3325
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001013905.1_sleC34_genomic.fna	83.0293
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001187435.1_ASM118743v1_genomic.fna	78.0399
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001279485.1_ASM127948v1_genomic.fna	78.3501
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001280885.1_ASM128088v1_genomic.fna	77.9996
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001418135.1_ASM141813v1_genomic.fna	78.7944
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001418175.1_ASM141817v1_genomic.fna	83.8961
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001427565.1_Root63_genomic.fna	78.1645
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001493375.1_Streptomyces_specialis_genomic.fna	76.8973
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001751255.1_ASM175125v1_genomic.fna	76.6478
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001941845.1_ASM194184v1_genomic.fna	78.3819
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_001970135.1_ASM197013v1_genomic.fna	82.767
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_002300165.1_ASM230016v1_genomic.fna	81.3591
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_002551065.1_ASM255106v1_genomic.fna	78.3796
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_003259355.1_ASM325935v1_genomic.fna	76.3822
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_003977835.1_ASM397783v1_genomic.fna	86.2087
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004122755.1_ASM412275v1_genomic.fna	77.757
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004524875.1_ASM452487v1_genomic.fna	78.0696
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_004684805.1_ASM468480v1_genomic.fna	78.1408
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005405925.1_ASM540592v1_genomic.fna	77.5672
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005519465.1_ASM551946v1_genomic.fna	78.202
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005869865.1_ASM586986v1_genomic.fna	83.0361
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_005981935.1_ASM598193v1_genomic.fna	78.9996
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009862245.1_ASM986224v1_genomic.fna	78.5416
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009862405.1_ASM986240v1_genomic.fna	77.6682
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_009865405.1_ASM986540v1_genomic.fna	78.2454
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_010548705.1_ASM1054870v1_genomic.fna	78.5689
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014138545.1_ASM1413854v1_genomic.fna	86.0909
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014207295.1_ASM1420729v1_genomic.fna	83.1262
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014648555.1_ASM1464855v1_genomic.fna	75.5016
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014648695.1_ASM1464869v1_genomic.fna	77.8092
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649415.1_ASM1464941v1_genomic.fna	78.457
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649435.1_ASM1464943v1_genomic.fna	82.5029
GCA_014649355.1_ASM1464935v1_genomic.fna	GCF_014649515.1_ASM1464951v1_genomic.fna	86.0776
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_016893525.2_ASM1689352v2_genomic.fna	93.3046
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_036226585.1_ASM3622658v1_genomic.fna	78.6207
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_040296585.1_ASM4029658v1_genomic.fna	81.3152
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_044755365.1_ASM4475536v1_genomic.fna	81.7355
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_048656505.1_ASM4865650v1_genomic.fna	76.9791
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_049998235.1_ASM4999823v1_genomic.fna	78.5608
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_049998315.1_ASM4999831v1_genomic.fna	82.7703
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050604645.1_ASM5060464v1_genomic.fna	82.6429
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050605165.1_ASM5060516v1_genomic.fna	82.9013
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050605505.1_ASM5060550v1_genomic.fna	82.8197
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_050608825.1_ASM5060882v1_genomic.fna	82.8177
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_963761325.1_MFD05502.bin.1.233_genomic.fna	76.9508
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_965650905.1_SRR15517647_binner13_Refined_2_genomic.fna	80.6441
GCA_014649615.1_ASM1464961v1_genomic.fna	GCA_965654005.1_SRR29654717_concoct_46_genomic.fna	80.8899
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000367365.1_ASM36736v1_genomic.fna	80.8303
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000695235.1_ASM69523v1_genomic.fna	77.8435
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000716335.1_ASM71633v1_genomic.fna	79.1248
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000717745.1_ASM71774v1_genomic.fna	78.2623
GCA_014649615.1_ASM1464961v1_genomic.fna	GCF_000719655.1_ASM71965v1_genomic.fna	78.6718
